2015-03-09 16:37:34 Debug: Notice (8): Undefined variable: data in [C:\xampp\htdocs\amigosource\views\categories\admin_index.ctp, line 45]
2015-03-09 16:37:34 Debug: Notice (8): Undefined variable: data in [C:\xampp\htdocs\amigosource\views\categories\admin_index.ctp, line 49]
2015-03-09 17:04:22 Debug: Notice (8): Undefined variable: data in [C:\xampp\htdocs\amigosource\views\categories\admin_index.ctp, line 50]
2015-03-09 17:05:21 Debug: Notice (8): Undefined property: CategoriesController::$Section in [C:\xampp\htdocs\amigosource\controllers\categories_controller.php, line 38]
2015-03-09 17:15:52 Debug: Notice (8): Undefined index: Section in [C:\xampp\htdocs\amigosource\views\helpers\tree.php, line 99]
2015-03-09 17:15:52 Debug: Notice (8): Undefined index: Section in [C:\xampp\htdocs\amigosource\views\helpers\tree.php, line 30]
2015-03-09 17:24:03 Debug: Notice (8): Array to string conversion in [C:\cake\libs\view\helpers\html.php, line 733]
2015-03-09 17:25:02 Debug: Notice (8): Array to string conversion in [C:\cake\libs\view\helpers\html.php, line 733]
2015-03-09 17:26:52 Debug: Notice (8): Undefined offset: 2 in [C:\cake\libs\view\helpers\form.php, line 520]
2015-03-09 17:27:15 Debug: Notice (8): Undefined offset: 2 in [C:\cake\libs\view\helpers\form.php, line 520]
2015-03-09 17:28:12 Debug: Notice (8): Undefined offset: 2 in [C:\cake\libs\view\helpers\form.php, line 520]
